Identifiant,Résumé,Statut,Version ciblée,Version du produit
0052175,Saisie rapide mouvement Ferry > enregistrer = Error HTTP 500,nouveau,4.9.1,4.9.0
0052702,FERRY > Saisie rapide mvt ferries > Enregistrer mvt = message PAQ indispo alors que libre,nouveau,,4.9.0
0052585,Param POP > saisie champs Remarques au max capacité saisie possible > enreg = erreur exception technique,nouveau,4.11,4.9.0
0052700,FERRY > Ecran saisie rapide mvt vigie > pb affichage de l’écran en entier,nouveau,,4.9.0
0052699,Exploitation > Paramétrer POP > Fenêtre non entière en consultation (modif ok),nouveau,,4.9.0
0052165,FERRY > POP  modifier annonce > changer de jour ou annuler je perds mes modif > l’annonce du départ disparait du POP graphique,nouveau,4.9.1,4.9.0
0052632,FERRy Saisie rapide mvt vigie > pourquoi certaines dates apparaissent en jj/mm/aaaa et d’autres restent vides ?,nouveau,4.9.1,4.9.0
0052630,FERRY Saisir rapide mvt vigie > Modifier + Réaliser mouvment = internal Error HTTP200 (ok si enreg puis remodif et realise),nouveau,4.9.1,4.9.0
0052608,FERRY Ecran rapide vigie mvt > modifier+realiser mvt = erreur Http500 (OK si enregistrer avant),nouveau,4.9.1,4.9.0
0052623,DS maj date heure départ = message faux heure doit etre supérieure à date précédente (cas NR),nouveau,,4.9.0
0052573,FAL5 Equipage :  liste type de pièce identité > le choix ‘ Autre Pièce avec photo’ a disparu,nouveau,,4.9.0
0052617,FERRY > si que mvt Entrée > on ne peut pas créer mvt Sortie dans Saisie rapide mvt ni dans tab mvt = Erreur technique,nouveau,4.9.1,4.9.0
0052605,Mouvements > menu contextuel gauche > navigation entre les FAL si retour sur Mouvement xxx ou Compléter mvt = Erreur HTTP404,nouveau,4.9.1,4.9.0
0052593,FERRY POP > le trigramme de la fiche navire pas pris en compte dans Zoom et Imprimer POP,nouveau,4.9.1,4.9.0
0052158,FERRY > POP > imprimer 7 jour = erreur exception technique,nouveau,4.9.1,4.9.0
0052534,Dossier Escale > Détention navire > date de fin détention dans le futur / pb affichage,nouveau,4.9.1,4.9.0
0052524,DMS > Saisie des escales avec dates > enreg = OK > si on retourne sur la DMS = dates VIDEES,nouveau,4.8.3,4.8.2
0052631,Anonymisation Via IHM: err 500,nouveau,4.9.1,4.9.0
0052535,Port de Calais > Navires disparus  depuis dernière maj base LLYOD,résolu,A FAIRE (hors klee),4.8.2
0052533,Créer DS > PAQ de sortie faux et message alerte PAQ indispo non justifié,nouveau,4.9.1,4.9.0
